id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,off_camera,counterpress,block_deflection,pass_deflected,foul_won_defensive,out,pass_cross,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_through_ball,pass_technique_id,pass_technique_name,duel_type_id,duel_type_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,clearance_right_foot,ball_recovery_recovery_failure,goalkeeper_end_location,pass_inswinging,clearance_left_foot,clearance_aerial_won,foul_committed_type_id,foul_committed_type_name,shot_first_time,foul_committed_penalty,foul_won_penalty,dribble_nutmeg,dribble_overrun,clearance_other,pass_goal_assist,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,50_50_outcome_id,50_50_outcome_name,foul_committed_card_id,foul_committed_card_name,ball_recovery_offensive,shot_one_on_one,pass_outswinging,shot_aerial_won,foul_committed_advantage,foul_won_advantage,block_offensive,foul_committed_offensive,bad_behaviour_card_id,bad_behaviour_card_name
06ca4ac0-20ce-4e15-bf13-f19f501b2fe9,3709,3,00:06:57.454,96,57,208,,42,Ball Receipt*,779,Argentina,3,From Free Kick,779,Argentina,,['859a8676-db31-49e3-a3ee-918ba515cbdc'],"[100.4, 4.9]",19597.0,Marcos Javier Acuña,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2c93aa9-2346-4c9d-a6fd-466f08b049c4,3710,3,00:06:57.454,96,57,208,2.444285,43,Carry,779,Argentina,3,From Free Kick,779,Argentina,,"['06ca4ac0-20ce-4e15-bf13-f19f501b2fe9', '3ca6fb7b-3665-4629-a398-5d23c4484d0c']","[100.4, 4.9]",19597.0,Marcos Javier Acuña,21.0,Left Wing,,,,,,,,,,,,"[114.7, 4.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ca6fb7b-3665-4629-a398-5d23c4484d0c,3711,3,00:06:59.899,96,59,208,1.523691,30,Pass,779,Argentina,3,From Free Kick,779,Argentina,,['6b8b4630-4723-474b-b81c-b1fa927e8931'],"[114.7, 4.2]",19597.0,Marcos Javier Acuña,21.0,Left Wing,,,38.638065,1.7031770,3.0,High Pass,"[109.6, 42.5]",,,38.0,Left Foot,,,9.0,Incomplete,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6b8b4630-4723-474b-b81c-b1fa927e8931,3712,3,00:07:01.422,97,1,208,0.0,9,Clearance,779,Argentina,3,From Free Kick,771,France,,['3ca6fb7b-3665-4629-a398-5d23c4484d0c'],"[10.5, 37.6]",8519.0,Dayotchanculle Upamecano,5.0,Left Center Back,,,,,,,,,,,,,,,,,,True,,,,,,,,True,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ce7f047-03e0-4ab5-b78e-013f3f5aa0c0,3713,3,00:07:02.407,97,2,208,0.0,9,Clearance,779,Argentina,3,From Free Kick,771,France,,,"[15.4, 28.2]",2972.0,Marcus Thuram,16.0,Left Midfield,,,,,,,,,,,,,,,,,,True,,,,,,,,True,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9ffb89b7-c5ce-4cd2-85f0-c86fb8911711,3714,3,00:07:04.218,97,4,208,0.0,9,Clearance,779,Argentina,3,From Free Kick,771,France,,,"[16.7, 29.3]",24778.0,Eduardo Camavinga,6.0,Left Back,,,,,,,,,,,,,,,,,,True,,,,,,,,,70.0,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
828eaf63-f58b-4ad4-95cd-009a203ddc21,3715,3,00:07:05.649,97,5,208,3.472312,30,Pass,779,Argentina,3,From Free Kick,779,Argentina,,,"[100.0, 57.5]",7797.0,Rodrigo Javier De Paul,13.0,Right Center Midfield,,,42.583214,-1.0871930,3.0,High Pass,"[119.8, 19.8]",66.0,Recovery,40.0,Right Foot,,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2cd20f28-9853-4b46-9e1a-1ecb0bde87ea,3716,3,00:07:40.789,97,40,209,5.083688,30,Pass,771,France,7,From Goal Kick,771,France,,['80f3bc17-a53e-4cf4-80f3-e709c7a19f06'],"[7.0, 36.1]",3099.0,Hugo Lloris,1.0,Goalkeeper,,,79.72961,0.18288200,3.0,High Pass,"[85.4, 50.6]",63.0,Goal Kick,38.0,Left Foot,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80f3bc17-a53e-4cf4-80f3-e709c7a19f06,3717,3,00:07:45.872,97,45,209,1.96904,30,Pass,771,France,7,From Goal Kick,779,Argentina,,"['2cd20f28-9853-4b46-9e1a-1ecb0bde87ea', 'f9081b2c-7aa4-408a-b408-3a80bafc2dc3']","[34.7, 29.5]",3090.0,Nicolás Hernán Otamendi,5.0,Left Center Back,19597.0,Marcos Javier Acuña,19.833809,-0.9646140,2.0,Low Pass,"[46.0, 13.2]",66.0,Recovery,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9081b2c-7aa4-408a-b408-3a80bafc2dc3,3718,3,00:07:47.841,97,47,209,,42,Ball Receipt*,771,France,7,From Goal Kick,779,Argentina,,['80f3bc17-a53e-4cf4-80f3-e709c7a19f06'],"[46.0, 13.2]",19597.0,Marcos Javier Acuña,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
